,energy,epe
150,484.68277,12.516307
151,480.1142,12.432731
152,477.73996,12.437561
153,471.1294,12.35259
154,469.36325,12.320222
155,467.88678,12.3566065
156,465.3531,12.281245
157,466.20963,12.269915
158,466.44272,12.355855
159,465.20306,12.2689085
160,465.9412,12.292075
161,462.31293,12.262868
162,462.22797,12.254716
163,462.3137,12.225418
164,464.9056,12.306646
165,462.15356,12.215592
166,462.85953,12.22889
167,462.87466,12.273303
168,460.95343,12.196106
169,462.0313,12.218741
170,464.68253,12.288767
171,461.8962,12.224672
172,461.64713,12.199498
173,461.42975,12.254088
174,459.0479,12.1717205
175,460.0424,12.1919565
176,462.62372,12.276891
177,460.5668,12.147197
178,461.61362,12.200206
179,467.29294,12.278522
180,463.85666,12.23507
181,463.5235,12.223563
182,464.25662,12.215796
183,460.90048,12.176069
184,461.08328,12.233183
185,457.91748,12.139575
186,456.34137,12.102867
187,457.77805,12.142318
188,458.6082,12.2028265
189,456.28885,12.115708
190,454.35205,12.089995
191,458.13797,12.163672
192,453.60007,12.085418
193,452.50742,12.0679865
194,457.01562,12.124888
195,453.6015,12.080344
196,453.2924,12.084487
197,456.04352,12.093223
198,455.1294,12.095225
199,450.83646,12.053896
200,449.8227,12.025722
201,450.17233,12.035952
202,449.23862,11.968931
203,457.8579,11.959449
204,460.32318,12.095694
205,463.33545,12.047294
206,472.30634,12.327905
207,466.37012,12.185518
208,458.548,12.106812
209,454.0264,12.061249
210,449.20444,11.973401
211,448.4888,11.956102
212,445.02106,11.978983
213,443.59048,11.930932
214,441.78998,11.915695
215,443.08545,11.90531
216,446.5595,11.917624
217,451.04327,12.002162
218,443.37506,11.952857
219,440.05692,11.871886
220,443.65213,11.875415
221,443.44174,11.88199
222,447.6587,11.957365
223,441.1877,11.907451
224,439.2514,11.852242
225,437.9542,11.808917
226,438.6982,11.880975
227,439.35776,11.891105
228,438.69113,11.848526
229,444.15363,11.859187
230,444.3584,11.921137
231,445.477,11.91541
232,446.89713,11.930905
233,445.96237,11.940202
234,440.70486,11.884166
235,442.8974,11.870698
236,445.38678,11.960839
237,447.80356,11.924461
238,443.78082,11.930521
239,438.6965,11.792616
240,438.887,11.883214
241,434.4333,11.801263
242,434.54834,11.780829
