,energy,epe
169,376.2556,11.611468
170,373.58856,11.558281
171,374.9929,11.563416
172,375.77267,11.578024
173,374.08493,11.538378
174,376.61246,11.5835705
175,377.38712,11.575204
176,374.5524,11.565158
177,372.66803,11.525022
178,372.17514,11.560232
179,370.40256,11.470204
180,372.0544,11.533384
181,372.07828,11.53362
182,371.29025,11.517294
183,374.35425,11.508632
184,379.4472,11.621451
185,380.43387,11.537851
186,386.62506,11.78136
187,386.27805,11.615875
188,382.2454,11.62623
189,381.94037,11.674966
190,375.8046,11.601927
191,373.16943,11.5810795
192,368.8196,11.485275
193,367.98926,11.505979
194,365.5403,11.438837
195,364.91827,11.446481
196,364.80853,11.377165
197,364.89774,11.460624
198,367.71463,11.450639
199,368.41776,11.481428
200,369.97028,11.431387
201,371.6111,11.546912
202,370.0602,11.503741
203,366.14102,11.415489
204,369.8023,11.473229
205,366.3625,11.497324
206,366.70547,11.429971
207,365.12155,11.42134
208,365.31635,11.437866
209,367.46143,11.430604
210,366.0721,11.400197
211,366.75912,11.513991
212,366.97992,11.376079
213,366.90085,11.432723
214,363.732,11.420654
215,362.99393,11.385557
216,361.4038,11.375383
217,360.4292,11.365576
218,359.99588,11.325608
219,359.86057,11.366465
220,360.1887,11.350011
221,359.96307,11.355824
222,360.55258,11.2957325
223,361.87494,11.387446
224,362.62515,11.388667
225,361.4011,11.337784
226,363.03366,11.351951
227,361.5229,11.407732
228,361.4472,11.323938
229,360.19818,11.352236
230,359.96585,11.326189
231,359.87598,11.357575
232,360.01205,11.303981
233,359.00293,11.308088
234,358.81,11.369395
235,359.97412,11.288108
236,359.69217,11.298765
237,358.6204,11.371826
238,359.51578,11.283366
239,359.41278,11.305731
240,357.8478,11.329544
241,358.4777,11.297052
242,358.47244,11.292363
243,358.21274,11.324066
244,357.82785,11.294935
245,359.39502,11.311711
246,358.0132,11.284555
247,356.89227,11.304116
248,357.78287,11.299956
249,357.4636,11.253386
250,356.9896,11.271062
251,356.61087,11.315651
252,358.82144,11.257012
253,359.2994,11.251592
254,359.86234,11.365496
255,361.16116,11.303343
256,360.28326,11.282042
257,357.16376,11.327789
258,357.3476,11.291887
259,356.6575,11.241997
260,356.64078,11.290659
261,355.12885,11.281199
262,355.16342,11.247018
263,355.12375,11.228219
264,354.2753,11.258056
265,356.29614,11.265806
